id;name;description;salary;created_at;updated_at;is_active
1;Директор;;400000;2013-12-28 18:38:09;2013-12-28 18:38:09;1
2;Начальник IT службы;;120000;2013-12-28 18:38:09;2013-12-28 18:38:09;1
3;Начальник HR службы;;90000;2013-12-28 18:38:09;2013-12-28 18:38:09;1
4;Начальник отдела продаж;;85000;2013-12-28 18:38:09;2013-12-28 18:38:09;1
5;Начальник отдела обслуживания;;55000;2013-12-28 18:38:09;2013-12-28 18:38:09;1
6;Начальник юр. отдела;;80000;2013-12-28 18:38:09;2013-12-28 18:38:09;1
7;Начальник охраны;;65000;2013-12-28 18:38:09;2013-12-28 18:38:09;1
8;Начальник отдела аналитики;;70000;2013-12-28 18:38:09;2013-12-28 18:38:09;1
9;Начальник отдела разработки;;190000;2013-12-28 18:38:09;2013-12-28 18:38:09;1
10;Senior разарботчик;;180000;2013-12-28 18:38:09;2013-12-28 18:38:09;1
11;Middle разработчик;;140000;2013-12-28 18:38:09;2013-12-28 18:38:09;1
12;Junior разработчик;;85000;2013-12-28 18:38:09;2013-12-28 18:38:09;1
13;Специалист IT службы;;50000;2013-12-28 18:38:09;2013-12-28 18:38:09;1
14;Специалист HR службы;;45000;2013-12-28 18:38:09;2013-12-28 18:38:09;1
15;Специалист отдела продаж;;55000;2013-12-28 18:38:09;2013-12-28 18:38:09;1
16;Специалист отдела аналитики;;60000;2013-12-28 18:38:09;2013-12-28 18:38:09;1
17;Юрист;;45000;2013-12-28 18:38:09;2013-12-28 18:38:09;1
18;Охранник;;30000;2013-12-28 18:38:09;2013-12-28 18:38:09;1
19;Уборщик;;27000;2013-12-28 18:38:09;2013-12-28 18:38:09;1
20;Электрик;;35000;2013-12-28 18:38:09;2013-12-28 18:38:09;1
21;Старший ПМ;;100000;2013-12-28 18:38:09;2013-12-28 18:38:09;1
